Index,DATE TIME,Temp,On/off
11,20/04/2018 03:11:04,58.90243902,0
11,20/04/2018 03:12:04,58.7804878,0
11,20/04/2018 03:13:04,58.7804878,0
11,20/04/2018 03:14:04,58.7804878,0
11,20/04/2018 03:15:04,58.7804878,0
11,20/04/2018 03:16:03,58.7804878,0
11,20/04/2018 03:17:03,58.7804878,0
11,20/04/2018 03:18:03,58.65853659,0
11,20/04/2018 03:19:03,58.7804878,0
11,20/04/2018 03:20:04,58.65853659,0
11,20/04/2018 03:21:04,58.65853659,0
11,20/04/2018 03:22:03,58.65853659,0
11,20/04/2018 03:23:03,58.65853659,0
11,20/04/2018 03:24:04,58.65853659,0
11,20/04/2018 03:25:04,58.53658537,0
11,20/04/2018 03:26:04,58.65853659,0
11,20/04/2018 03:27:04,58.53658537,0
11,20/04/2018 03:28:04,58.65853659,0
11,20/04/2018 03:29:04,58.53658537,0
11,20/04/2018 03:30:04,58.53658537,0
11,20/04/2018 03:31:05,58.53658537,0
11,20/04/2018 03:32:04,58.53658537,0
11,20/04/2018 03:33:04,58.41463415,0
11,20/04/2018 03:34:04,58.53658537,0
11,20/04/2018 03:35:04,58.41463415,0
11,20/04/2018 03:36:04,58.41463415,0
11,20/04/2018 03:37:04,58.53658537,0
11,20/04/2018 03:38:04,58.41463415,0
11,20/04/2018 03:39:04,58.41463415,0
11,20/04/2018 03:40:04,58.41463415,0
11,20/04/2018 03:41:04,58.41463415,0
11,20/04/2018 03:42:04,58.41463415,0
11,20/04/2018 03:43:04,58.41463415,0
11,20/04/2018 03:44:04,58.41463415,0
11,20/04/2018 03:45:04,58.41463415,0
11,20/04/2018 03:46:04,58.41463415,0
11,20/04/2018 03:47:04,58.41463415,0
11,20/04/2018 03:48:05,58.41463415,0
11,20/04/2018 03:49:04,58.29268293,0
11,20/04/2018 03:50:04,58.41463415,0
11,20/04/2018 03:51:04,58.41463415,0
11,20/04/2018 03:52:04,58.29268293,0
11,20/04/2018 03:53:04,58.17073171,0
11,20/04/2018 03:54:04,58.29268293,0
11,20/04/2018 03:55:05,58.17073171,0
11,20/04/2018 03:56:04,58.29268293,0
11,20/04/2018 03:57:04,58.29268293,0
11,20/04/2018 03:58:05,58.29268293,0
11,20/04/2018 03:59:04,58.04878049,0
11,20/04/2018 04:00:05,58.17073171,0
11,20/04/2018 04:01:04,58.17073171,0
11,20/04/2018 04:02:04,58.04878049,0
11,20/04/2018 04:03:05,58.04878049,0
11,20/04/2018 04:04:04,58.04878049,0
11,20/04/2018 04:05:05,58.17073171,0
11,20/04/2018 04:06:04,58.04878049,0
11,20/04/2018 04:07:05,58.04878049,0
11,20/04/2018 04:08:04,58.04878049,0
11,20/04/2018 04:09:05,57.92682927,0
11,20/04/2018 04:10:04,58.04878049,0
11,20/04/2018 04:11:05,58.04878049,0
11,20/04/2018 04:12:05,58.04878049,0
11,20/04/2018 04:13:04,58.04878049,0
11,20/04/2018 04:14:05,57.92682927,0
11,20/04/2018 04:15:04,58.04878049,0
11,20/04/2018 04:16:05,58.04878049,0
11,20/04/2018 04:17:04,57.92682927,0
11,20/04/2018 04:18:05,58.04878049,0
11,20/04/2018 04:19:05,57.92682927,0
11,20/04/2018 04:20:04,57.92682927,0
